score, participants, totalProposals, candidateProposals, activeProposals, completedProposals, failedProposals, hatchers, proposals, commonTribute, maxSpending, customDays, exitTribute
855,49, 304, 1, 2, 148, 153,3, 32, 87, 12, 104, 12
413,57, 272, 0, 3, 127, 142,50, 10, 1, 16, 12, 14
728,47, 275, 2, 2, 135, 136,29, 9, 67, 33, 16, 59
-277,37, 124, 112, 0, 7, 5,32, 14, 67, 22, 3, 89
617,42, 308, 2, 0, 158, 148,9, 40, 23, 24, 69, 19
672,40, 313, 0, 0, 163, 150,9, 40, 23, 24, 69, 42
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 2
649,45, 311, 1, 0, 148, 162,25, 36, 36, 50, 62, 52
584,42, 310, 0, 0, 146, 164,25, 36, 36, 50, 62, 59
668,58, 313, 1, 2, 142, 168,25, 36, 36, 50, 62, 70
629,56, 313, 1, 1, 143, 168,25, 36, 36, 50, 62, 76
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 10
668,58, 313, 1, 2, 142, 168,25, 36, 36, 50, 62, 68
669,58, 313, 1, 2, 142, 168,25, 36, 36, 50, 62, 72
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 16
668,58, 313, 1, 2, 142, 168,25, 36, 36, 50, 62, 66
696,49, 318, 1, 0, 148, 169,25, 36, 36, 50, 62, 94
584,42, 310, 0, 0, 146, 164,25, 36, 36, 50, 62, 61
668,58, 313, 1, 2, 142, 168,25, 36, 36, 50, 62, 67
559,40, 306, 1, 3, 142, 160,25, 36, 36, 50, 62, 37
649,45, 311, 1, 0, 148, 162,25, 36, 36, 50, 62, 56
670,58, 313, 1, 3, 142, 167,25, 36, 36, 50, 62, 74
629,56, 313, 1, 1, 143, 168,25, 36, 36, 50, 62, 75
486,45, 325, 0, 1, 152, 172,25, 36, 36, 50, 62, 31
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 11
519,36, 300, 1, 1, 131, 167,25, 36, 36, 50, 62, 65
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 20
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 24
584,42, 310, 0, 0, 146, 164,25, 36, 36, 50, 62, 60
696,49, 318, 1, 0, 148, 169,25, 36, 36, 50, 62, 90
696,49, 318, 1, 0, 148, 169,25, 36, 36, 50, 62, 96
629,56, 313, 1, 1, 143, 168,25, 36, 36, 50, 62, 77
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 5
696,49, 318, 1, 0, 148, 169,25, 36, 36, 50, 62, 83
560,41, 305, 1, 1, 140, 163,25, 36, 36, 50, 62, 50
696,49, 318, 1, 0, 148, 169,25, 36, 36, 50, 62, 88
668,58, 313, 1, 2, 142, 168,25, 36, 36, 50, 62, 71
512,40, 311, 0, 1, 140, 170,25, 36, 36, 50, 62, 30
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 1
479,34, 324, 1, 3, 140, 180,25, 36, 36, 50, 62, 34
696,49, 318, 1, 0, 148, 169,25, 36, 36, 50, 62, 95
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 13
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 14
439,42, 310, 0, 1, 138, 171,25, 36, 36, 50, 62, 27
696,49, 318, 1, 0, 148, 169,25, 36, 36, 50, 62, 86
481,34, 324, 1, 3, 140, 180,25, 36, 36, 50, 62, 35
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 12
696,49, 318, 1, 0, 148, 169,25, 36, 36, 50, 62, 93
544,40, 309, 2, 0, 144, 163,25, 36, 36, 50, 62, 64
649,45, 311, 1, 0, 148, 162,25, 36, 36, 50, 62, 53
604,53, 312, 1, 0, 145, 166,25, 36, 36, 50, 62, 79
435,34, 315, 0, 2, 137, 176,25, 36, 36, 50, 62, 19
560,41, 305, 1, 1, 140, 163,25, 36, 36, 50, 62, 49
433,40, 288, 0, 0, 121, 167,33, 35, 71, 43, 84, 27
575,43, 302, 1, 0, 142, 159,33, 35, 71, 43, 84, 40
593,41, 307, 0, 1, 149, 157,33, 35, 71, 43, 84, 51
594,41, 330, 1, 0, 150, 179,33, 35, 71, 43, 84, 64
586,41, 330, 1, 0, 150, 179,33, 35, 71, 43, 84, 59
589,41, 330, 1, 0, 150, 179,33, 35, 71, 43, 84, 61
489,43, 294, 2, 1, 130, 161,33, 35, 71, 43, 84, 1
592,41, 330, 1, 0, 150, 179,33, 35, 71, 43, 84, 63
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 83
489,43, 294, 2, 1, 130, 161,33, 35, 71, 43, 84, 7
489,43, 294, 2, 1, 130, 161,33, 35, 71, 43, 84, 21
489,43, 294, 2, 1, 130, 161,33, 35, 71, 43, 84, 2
489,43, 294, 2, 1, 130, 161,33, 35, 71, 43, 84, 22
669,42, 312, 3, 1, 141, 167,33, 35, 71, 43, 84, 73
431,40, 288, 0, 0, 121, 167,33, 35, 71, 43, 84, 26
609,39, 302, 1, 4, 139, 158,33, 35, 71, 43, 84, 44
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 87
758,49, 307, 0, 1, 156, 150,33, 35, 71, 43, 84, 70
489,43, 294, 2, 1, 130, 161,33, 35, 71, 43, 84, 20
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 78
489,43, 294, 2, 1, 130, 161,33, 35, 71, 43, 84, 5
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 81
489,43, 294, 2, 1, 130, 161,33, 35, 71, 43, 84, 8
489,43, 294, 2, 1, 130, 161,33, 35, 71, 43, 84, 17
522,38, 286, 0, 1, 131, 154,6, 22, 58, 8, 66, 25
560,53, 315, 1, 0, 151, 163,36, 22, 58, 8, 66, 25
622,61, 293, 0, 2, 143, 148,42, 22, 58, 8, 66, 25
522,38, 286, 0, 1, 131, 154,7, 22, 58, 8, 66, 25
522,38, 286, 0, 1, 131, 154,5, 22, 58, 8, 66, 25
522,38, 286, 0, 1, 131, 154,12, 22, 58, 8, 66, 25
447,56, 300, 1, 0, 139, 160,49, 22, 58, 8, 66, 25
522,38, 286, 0, 1, 131, 154,20, 22, 58, 8, 66, 25
506,45, 283, 1, 2, 136, 144,35, 22, 58, 8, 66, 25
479,49, 306, 0, 1, 142, 163,31, 22, 58, 8, 66, 25
555,39, 287, 0, 3, 137, 147,3, 15, 6, 23, 110, 45
510,36, 320, 2, 0, 150, 168,3, 33, 53, 41, 110, 45
666,43, 278, 1, 1, 141, 135,3, 1, 37, 10, 110, 45
675,46, 300, 1, 1, 151, 147,3, 16, 46, 17, 110, 45
744,46, 321, 0, 0, 165, 156,3, 27, 70, 27, 110, 45
658,39, 269, 1, 1, 133, 134,3, 2, 78, 31, 110, 45
825,44, 323, 4, 2, 146, 171,3, 28, 99, 31, 110, 45
595,41, 273, 1, 1, 138, 133,3, 12, 72, 42, 110, 45
600,46, 278, 1, 2, 135, 140,3, 4, 43, 35, 110, 45
